Date;Open;High;Low;Close;Volume
13/03/2025 00:00;2937.92;2989.78;2932.76;2986.19;1380
14/03/2025 00:00;2986.17;3004.72;2978.08;2983.79;1260
16/03/2025 00:00;2984.28;2993.49;2983.48;2989.91;120
17/03/2025 00:00;2989.91;3002.66;2981.97;2999.51;1379
18/03/2025 00:00;2999.15;3038.05;2999.25;3031.52;1380
19/03/2025 00:00;3031.56;3051.75;3022.31;3049.87;1380
20/03/2025 00:00;3049.89;3057.24;3025.42;3046.24;1380
21/03/2025 00:00;3046.24;3047.26;2999.26;3022.27;1260
23/03/2025 00:00;3020.15;3026.04;3020.15;3024.51;120
24/03/2025 00:00;3024.44;3033.13;3002.14;3009.59;1380
25/03/2025 00:00;3009.61;3035.49;3007.31;3020.77;1380
26/03/2025 00:00;3020.76;3031.94;3012.12;3021.39;1380
27/03/2025 00:00;3021.36;3059.51;3021.35;3055.27;1380
28/03/2025 00:00;3055.18;3086.72;3054.68;3083.89;1260
30/03/2025 00:00;3086.49;3097.71;3085.35;3088.89;120
31/03/2025 00:00;3088.84;3127.82;3076.48;3120.34;1380
01/04/2025 00:00;3120.26;3148.83;3100.66;3114.99;1380
02/04/2025 00:00;3114.99;3167.54;3104.17;3162.47;1378
03/04/2025 00:00;3162.45;3164.57;3053.93;3112.62;1380
04/04/2025 00:00;3112.64;3136.43;3015.33;3037.99;1258
06/04/2025 00:00;3006.76;3032.18;2976.58;2999.54;116
07/04/2025 00:00;2999.54;3055.21;2956.12;2981.07;1380
08/04/2025 00:00;2980.98;3022.48;2969.26;2978.26;1380
09/04/2025 00:00;2978.43;3099.46;2971.74;3086.49;1380
10/04/2025 00:00;3086.49;3191.04;3078.41;3188.77;1380
11/04/2025 00:00;3188.75;3245.02;3184.66;3236.37;1260
13/04/2025 00:00;3229.15;3229.52;3209.22;3223.54;120
14/04/2025 00:00;3223.57;3245.51;3193.31;3212.39;1380
15/04/2025 00:00;3212.37;3251.66;3209.68;3251.66;1380
16/04/2025 00:00;3251.65;3357.45;3251.45;3349.88;1376
17/04/2025 00:00;3349.92;3356.06;3283.34;3326.92;1259
20/04/2025 00:00;3331.83;3352.96;3327.98;3347.97;120
21/04/2025 00:00;3348.29;3444.04;3347.28;3434.95;1380
22/04/2025 00:00;3434.98;3499.91;3312.62;3336.31;1380
23/04/2025 00:00;3336.34;3386.37;3259.48;3316.14;1380
24/04/2025 00:00;3316.16;3370.06;3306.24;3348.74;1366
25/04/2025 00:00;3348.75;3362.68;3264.78;3318.62;1260
27/04/2025 00:00;3324.26;3335.99;3298.27;3302.41;120
28/04/2025 00:00;3302.48;3352.83;3267.76;3337.32;1380
29/04/2025 00:00;3337.28;3339.66;3299.32;3316.77;1375
30/04/2025 00:00;3316.82;3327.86;3266.87;3272.54;1380
01/05/2025 00:00;3272.57;3276.09;3201.68;3236.95;1380
02/05/2025 00:00;3237.12;3268.68;3222.39;3239.41;1260
04/05/2025 00:00;3239.19;3252.11;3236.74;3247.74;120
05/05/2025 00:00;3247.77;3337.49;3240.88;3333.76;1380
06/05/2025 00:00;3333.66;3437.65;3321.31;3400.38;1380
07/05/2025 00:00;3400.49;3401.07;3359.73;3376.01;1380
08/05/2025 00:00;3376.25;3414.17;3288.44;3316.02;1380
09/05/2025 00:00;3316.06;3347.36;3274.29;3323.34;1260
11/05/2025 00:00;3271.08;3292.67;3265.48;3287.31;118
12/05/2025 00:00;3287.37;3289.67;3207.49;3236.58;1380
13/05/2025 00:00;3236.58;3265.54;3215.53;3253.92;1380
14/05/2025 00:00;3254.14;3254.13;3167.54;3185.81;1380
15/05/2025 00:00;3185.81;3251.38;3120.32;3236.84;1380
16/05/2025 00:00;3236.81;3244.24;3153.47;3202.46;1260
18/05/2025 00:00;3218.45;3245.02;3205.78;3234.26;120
19/05/2025 00:00;3234.29;3249.05;3206.23;3222.19;1380
20/05/2025 00:00;3222.22;3303.76;3204.22;3290.43;1380
21/05/2025 00:00;3290.38;3324.74;3285.21;3319.83;1380
22/05/2025 00:00;3320.07;3345.19;3278.78;3299.74;1380
23/05/2025 00:00;3299.82;3365.79;3286.76;3356.57;1260
25/05/2025 00:00;3355.69;3356.08;3340.29;3342.29;120
26/05/2025 00:00;3342.42;3356.59;3323.29;3345.94;1229
27/05/2025 00:00;3345.91;3349.74;3284.15;3309.14;1380
28/05/2025 00:00;3309.14;3325.31;3249.72;3259.54;1380
29/05/2025 00:00;3259.54;3330.77;3245.19;3315.39;1380
30/05/2025 00:00;3315.39;3322.44;3271.09;3288.86;1260
01/06/2025 00:00;3298.37;3316.44;3295.26;3309.93;120
02/06/2025 00:00;3309.95;3391.93;3301.19;3387.19;1380
03/06/2025 00:00;3387.22;3388.39;3332.57;3359.69;1380
04/06/2025 00:00;3359.69;3384.49;3343.44;3377.93;1380
05/06/2025 00:00;3377.86;3403.17;3339.04;3361.64;1380
06/06/2025 00:00;3361.64;3375.34;3306.91;3309.62;1260
08/06/2025 00:00;3311.39;3320.98;3309.01;3317.79;120
09/06/2025 00:00;3317.49;3338.06;3293.19;3326.55;1380
10/06/2025 00:00;3326.57;3348.89;3301.69;3327.75;1380
11/06/2025 00:00;3327.82;3373.16;3319.74;3365.26;1380
12/06/2025 00:00;3365.16;3398.74;3338.38;3395.54;1380
13/06/2025 00:00;3395.42;3446.64;3391.46;3431.85;1260
15/06/2025 00:00;3451.06;3451.06;3428.07;3444.01;120
16/06/2025 00:00;3443.99;3451.08;3382.52;3402.59;1380
17/06/2025 00:00;3402.63;3403.09;3365.83;3387.15;1380
18/06/2025 00:00;3387.09;3399.84;3362.35;3374.88;1380
19/06/2025 00:00;3374.92;3387.79;3347.26;3368.58;1229
20/06/2025 00:00;3368.58;3374.26;3340.17;3368.45;1260
22/06/2025 00:00;3390.69;3396.64;3370.89;3372.49;120
23/06/2025 00:00;3372.45;3393.34;3341.09;3343.89;1380
24/06/2025 00:00;3343.99;3357.61;3295.09;3324.01;1380
25/06/2025 00:00;3323.97;3340.01;3311.27;3338.48;1380
26/06/2025 00:00;3338.83;3350.02;3309.69;3318.49;1380
27/06/2025 00:00;3318.39;3321.84;3255.48;3273.33;1260
29/06/2025 00:00;3272.14;3281.29;3244.92;3263.58;120
30/06/2025 00:00;3263.55;3314.39;3259.19;3312.29;1380
01/07/2025 00:00;3312.24;3357.86;3309.67;3337.87;1380
02/07/2025 00:00;3337.93;3365.45;3327.27;3349.09;1380
03/07/2025 00:00;3349.11;3363.54;3311.21;3330.64;1380
04/07/2025 00:00;3330.56;3344.29;3325.61;3336.24;1019
06/07/2025 00:00;3334.01;3342.34;3326.06;3328.65;120
07/07/2025 00:00;3328.68;3345.54;3296.19;3334.39;1380
08/07/2025 00:00;3334.39;3339.28;3314.61;3314.96;840
